event,date,country,city,artist,album,track,isrc,linkid
pageview,2021-08-19,United States,Noblesville,"Soulja Boy Tell 'Em, Rich The Kid",Rick N Morty,Rick N Morty,QZK6N2198767,5ffec53c-25da-436e-a84e-5695deee5e0e
pageview,2021-08-19,United States,Garner,Filatov & Karas,TechNoNo,TechNoNo,Unknown,b87cb976-985e-5319-b36b-aa7473a54da1
pageview,2021-08-19,United States,Woodbridge,"Kanye West, Dwele",Graduation,Flashing Lights,USUM70749095,1d166e49-0c0a-4fca-9456-1b3ebf57ffad
pageview,2021-08-19,United States,Ocean View,Christian Nodal,AYAYAY! (Deluxe),Mamacita,Unknown,5c701458-6001-5177-a289-004eb9e16c00
pageview,2021-08-19,New Zealand,Queenstown,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9
pageview,2021-08-19,Ireland,Dublin,Bella Poarch,Build a Bitch,Build a Bitch,USWB12101016,a107c329-5d35-4c7d-8050-50bc69ce7dbc
pageview,2021-08-19,Ireland,Kildare,"Anuel AA, Chris Jedi",Los De Siempre,Los De Siempre,USUM72112424,984156c3-74f2-4777-8f19-1f9753dc7b0e
pageview,2021-08-19,United States,Middletown,J Balvin,Que Locura,Que Locura,QZM5U2100120,d2be347e-88bb-491c-9478-1216363713ec
pageview,2021-08-19,United States,Miami,Freckle & Pete,BeatStop,BeatStop,Unknown,de47ad1b-154d-58e5-ab11-4e97db1300a7
pageview,2021-08-19,United States,Bradenton,KAROL G,Ejercitando En Casa,Punto G,Unknown,51bc6157-8787-52bf-9711-9ab1a5c53ced
pageview,2021-08-19,United States,Clarks Summit,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
pageview,2021-08-19,United States,Scottsville,Hoàng Read,The Magic Bomb,The Magic Bomb - Extended Mix,FR59R2143389,8f990f44-6a5d-4294-ab0b-f74e0a8f3b25
pageview,2021-08-19,Australia,Unknown,Jesse McCartney,Beautiful Soul,Beautiful Soul,USHR10421324,00829040-ee01-4409-966d-d67c7965144a
